Buyer Postal Code,Ticket Type,mean,nunique,count
01028,Pay What You Can,0.0,1,5
01235,Pay What You Can,0.0,1,2
01451,Regular,30.0,1,2
01519,Pay What You Can,10.0,1,1
01519,Regular,30.0,1,1
01545,Pay What You Can,15.0,2,2
01545,Premium,50.0,1,2
01701,Pay What You Can,0.0,2,4
01702,Pay What You Can,11.428571428571429,2,7
01720,Regular,30.0,1,4
01730,Pay What You Can,0.0,1,2
01730,Regular,30.0,1,3
01742,Regular,30.0,2,4
01746,Pay What You Can,20.0,1,2
01746,Premium,50.0,2,3
01746,Regular,30.0,2,4
01752,Pay What You Can,0.0,1,2
01760,Pay What You Can,18.0,3,5
01760,Regular,30.0,1,2
01770,Pay What You Can,30.0,1,3
01770,Regular,30.0,1,1
01773,Pay What You Can,1.8571428571428572,5,7
01773,Regular,30.0,1,1
01775,Regular,30.0,2,3
01778,Pay What You Can,2.857142857142857,4,7
01778,Premium,50.0,1,4
01803,Pay What You Can,15.0,2,5
01810,Pay What You Can,20.0,2,4
01824,Pay What You Can,1.0,1,1
01824,Premium,50.0,1,2
01826,Pay What You Can,12.0,1,2
01843,Pay What You Can,6.0,1,5
01852,Regular,30.0,2,2
01864,Regular,30.0,1,1
01867,Pay What You Can,30.0,1,2
01880,Pay What You Can,7.5,3,4
01886,Pay What You Can,20.0,1,1
01886,Premium,50.0,1,2
01886,Regular,30.0,1,1
01890,Pay What You Can,13.215,2,4
01890,Premium,50.0,1,2
01907,Pay What You Can,10.0,2,8
01907,Regular,30.0,2,5
01915,Pay What You Can,5.0,1,1
01923,Premium,50.0,1,1
01923,Regular,30.0,1,1
01930,Regular,30.0,1,1
01940,Pay What You Can,10.0,1,3
01945,Pay What You Can,5.0,1,3
01945,Regular,30.0,1,1
01950,Regular,30.0,1,1
01960,Pay What You Can,25.0,1,2
01960,Regular,30.0,1,2
02021,Pay What You Can,0.0,1,2
02026,Pay What You Can,1.875,3,8
02030,Regular,30.0,1,1
02032,Regular,30.0,1,2
02038,Regular,30.0,1,2
02050,Premium,50.0,1,1
02056,Regular,30.0,1,2
02062,Pay What You Can,25.0,1,2
02062,Regular,30.0,1,2
02067,Regular,30.0,2,3
02072,Pay What You Can,0.0,1,2
02090,Premium,50.0,2,3
02093,Premium,50.0,1,2
02108,Pay What You Can,5.0,2,2
02109,Regular,30.0,2,2
02110,Regular,30.0,5,5
02111,Pay What You Can,7.5,2,4
02111,Premium,50.0,1,8
02111,Regular,30.0,1,2
02113,Regular,30.0,1,2
02114,Pay What You Can,10.0,4,9
02114,Premium,50.0,1,2
02114,Regular,30.0,1,2
02115,Pay What You Can,6.090909090909091,8,11
02115,Regular,30.0,1,3
02116,Pay What You Can,0.0,1,1
02116,Regular,30.0,1,1
02118,Pay What You Can,9.547272727272727,5,11
02118,Premium,50.0,3,3
02119,Pay What You Can,0.0,1,2
02121,Premium,50.0,1,3
02122,Pay What You Can,15.0,1,1
02124,Pay What You Can,0.0,3,8
02125,Pay What You Can,0.2857142857142857,2,7
02127,Pay What You Can,4.714285714285714,3,7
02128,Pay What You Can,8.333333333333334,3,6
02129,Pay What You Can,4.285714285714286,3,7
02129,Regular,30.0,1,2
02130,Pay What You Can,7.368421052631579,10,19
02130,Premium,50.0,1,4
02130,Regular,30.0,3,6
02131,Pay What You Can,20.0,1,2
02131,Premium,50.0,1,2
02131,Regular,30.0,2,4
02131,Student,10.0,1,1
02132,Pay What You Can,1.5714285714285714,4,7
02132,Regular,30.0,2,2
02134,Pay What You Can,4.734285714285714,5,7
02135,Pay What You Can,4.5,11,20
02138,Pay What You Can,1.5,7,10
02138,Premium,50.0,1,2
02138,Regular,30.0,2,5
02139,Pay What You Can,2.738095238095238,18,42
02139,Premium,50.0,2,4
02139,Regular,30.0,6,13
02139,Student,10.0,1,3
02140,Pay What You Can,5.0,2,4
02140,Premium,50.0,1,4
02140,Regular,30.0,6,12
02141,Pay What You Can,3.6363636363636362,6,11
02141,Regular,30.0,3,18
02142,Premium,50.0,2,6
02142,Regular,30.0,1,2
02143,Pay What You Can,1.625,5,8
02144,Pay What You Can,6.666666666666667,4,9
02144,Premium,50.0,1,2
02145,Pay What You Can,10.0,1,1
02145,Regular,30.0,1,2
02148,Pay What You Can,6.625,4,8
02148,Regular,30.0,2,2
02151,Regular,30.0,1,2
02155,Pay What You Can,3.230769230769231,6,13
02155,Premium,50.0,1,3
02155,Regular,30.0,2,5
02169,Pay What You Can,5.0,2,3
02170,Pay What You Can,0.0,1,2
02170,Regular,30.0,2,4
02171,Pay What You Can,3.0,2,2
02171,Premium,50.0,1,2
02176,Pay What You Can,15.0,1,2
02180,Pay What You Can,0.0,1,2
02186,Premium,50.0,2,2
02188,Pay What You Can,0.0,4,4
02188,Premium,50.0,1,1
02199,Pay What You Can,14.166666666666666,3,6
02199,Premium,50.0,1,3
02210,Regular,30.0,1,2
02215,Pay What You Can,5.25,2,6
02215,Regular,30.0,1,1
02301,Pay What You Can,30.0,1,1
02301,Regular,30.0,1,5
02319,Pay What You Can,0.0,1,1
02343,Pay What You Can,25.0,1,2
02351,Pay What You Can,2.5,1,3
02370,Premium,50.0,2,6
02420,Pay What You Can,5.375,2,8
02420,Premium,50.0,1,1
02421,Pay What You Can,6.0,2,5
02421,Regular,30.0,2,2
02445,Pay What You Can,5.151176470588235,9,17
02445,Premium,50.0,1,1
02446,Pay What You Can,7.142857142857143,12,28
02446,Premium,50.0,3,6
02446,Regular,30.0,1,3
02453,Pay What You Can,0.6666666666666666,2,3
02453,Premium,50.0,1,1
02453,Regular,30.0,1,2
02458,Pay What You Can,2.857142857142857,4,7
02458,Regular,30.0,4,8
02459,Pay What You Can,9.841111111111111,5,9
02459,Regular,30.0,1,2
02460,Pay What You Can,0.0,1,2
02460,Regular,30.0,1,3
02461,Pay What You Can,20.0,3,10
02461,Premium,50.0,1,1
02461,Regular,30.0,2,3
02465,Pay What You Can,25.0,2,3
02465,Regular,30.0,1,2
02466,Pay What You Can,25.0,1,2
02466,Premium,50.0,1,2
02467,Pay What You Can,3.3636363636363638,5,11
02467,Premium,50.0,3,5
02468,Pay What You Can,50.0,1,2
02468,Regular,30.0,1,1
02472,Pay What You Can,13.0,6,10
02472,Premium,50.0,2,5
02472,Regular,30.0,5,17
02474,Pay What You Can,16.285714285714285,3,7
02474,Regular,30.0,1,1
02476,Pay What You Can,25.0,2,4
02476,Premium,16.666666666666668,2,6
02476,Regular,30.0,4,5
02478,Pay What You Can,7.333333333333333,3,6
02478,Premium,50.0,1,3
02478,Regular,30.0,1,1
02481,Pay What You Can,0.0,1,2
02493,Premium,50.0,1,2
02536,Pay What You Can,15.5,1,1
02554,Regular,0.0,2,3
02639,Pay What You Can,25.0,1,2
02762,Regular,30.0,1,2
02860,Pay What You Can,0.0,1,3
02891,Pay What You Can,10.0,1,2
02891,Student,10.0,1,2
02905,Premium,50.0,1,3
03051,Pay What You Can,0.0,1,2
03054,Regular,30.0,1,2
03063,Pay What You Can,30.0,2,4
03063,Premium,50.0,2,4
03301,Regular,30.0,1,2
03452,Regular,30.0,1,3
03766,Pay What You Can,0.0,1,2
03840,Premium,50.0,1,2
03865,Pay What You Can,25.0,1,2
04102,Regular,30.0,1,8
04103,Premium,50.0,1,2
04105,Premium,50.0,1,2
04342,Regular,30.0,1,2
05602,Pay What You Can,0.0,1,2
06751,Premium,50.0,1,2
07733,Pay What You Can,12.5,2,2
08002,Premium,50.0,1,1
08550,Regular,30.0,2,3
08759,Premium,50.0,1,1
10018,Pay What You Can,5.0,1,1
10019,Pay What You Can,5.0,1,3
10027,Pay What You Can,0.0,1,2
10032,Pay What You Can,5.0,2,2
10033,Premium,50.0,1,3
10305,Regular,30.0,1,2
10538,Pay What You Can,20.0,1,3
11790,Premium,50.0,1,2
12211,Student,10.0,2,2
19446,Pay What You Can,5.0,1,2
19460,Premium,50.0,2,2
20007,Premium,50.0,1,7
20191,Pay What You Can,5.0,1,1
20259,Pay What You Can,5.0,1,2
20619,Premium,50.0,1,3
20904,Pay What You Can,5.0,1,2
22033,Pay What You Can,5.0,2,4
22033,Regular,30.0,1,1
22033,Student,10.0,1,1
22205,Premium,50.0,1,2
22304,Premium,50.0,1,2
25702,Pay What You Can,10.0,1,2
28205,Pay What You Can,0.0,1,2
30040,Regular,30.0,1,1
30115,Premium,50.0,2,2
32034,Premium,50.0,1,2
32224,Pay What You Can,10.0,1,3
32817,Pay What You Can,3.0,2,3
33019,Pay What You Can,15.0,1,1
33028,Pay What You Can,15.0,3,7
33028,Regular,30.0,1,3
33409,Premium,50.0,1,2
33513,Regular,30.0,1,2
33913,Pay What You Can,4.0,1,2
34698,Pay What You Can,20.0,1,1
37204,Pay What You Can,10.0,1,1
37208,Pay What You Can,10.0,1,2
38655,Regular,30.0,1,2
43016,Pay What You Can,25.0,1,4
48126,Pay What You Can,1.0,1,8
49506,Pay What You Can,10.0,1,1
49506,Premium,50.0,1,1
5224547,Pay What You Can,20.0,1,1
53713,Regular,30.0,1,1
53719,Pay What You Can,15.0,1,1
60440,Pay What You Can,3.0,1,1
60654,Regular,30.0,1,1
61802,Pay What You Can,0.0,1,1
62563,Pay What You Can,30.0,1,1
65203,Pay What You Can,10.0,1,2
6524 RA,Pay What You Can,10.0,1,1
75024,Regular,30.0,1,1
75211,Pay What You Can,20.0,1,2
77025,Pay What You Can,1.0,1,3
81656,Pay What You Can,8.333333333333334,2,3
83716,Pay What You Can,10.0,2,2
84103,Premium,50.0,1,1
85310,Pay What You Can,5.0,1,3
89149,Pay What You Can,12.5,2,4
92069,Pay What You Can,15.0,1,3
92130,Pay What You Can,3.3333333333333335,2,3
92602,Pay What You Can,10.0,1,1
94024,Pay What You Can,10.0,1,2
94025,Pay What You Can,7.5,1,1
94122,Pay What You Can,20.0,1,2
94303,Pay What You Can,0.0,1,1
94306,Regular,30.0,1,1
94526,Premium,50.0,1,3
94941,Pay What You Can,20.0,1,1
95051,Pay What You Can,15.0,1,1
95070,Premium,50.0,1,4
95118,Pay What You Can,10.0,1,3
98087,Pay What You Can,0.0,1,4
L8P0B8,Regular,30.0,1,1
V1C 6R1,Premium,50.0,1,1
